id as number,year,occasion,site,food_trt,helm_trt,date,sess,trap,tag,id,sex,ow,per,nip,preg,test,head,mass,ticks,ear_ed,saliva_sr,smear_bs,bloodspin_bc,bloodrna_br,fecalegg_fe,fecalrna_fr,deworm,fate,handler,notes
91,2021,2,helmipollo,control,control,6/21/2021,1,E5,226054,0091,F,0,1,0,0,NA,12.6,13.0,6,1,1,1,1,1,1,1,0,R,JV,FR collected session 4
101,2021,2,helmipollo,control,control,6/21/2021,2,A2,226079,0101,M,0,NA,NA,NA,1,12.5,16.5,0,1,1,1,1,1,1,1,0,R,JM,
98,2021,2,puro,supplement,deworm,6/21/2021,1,H2,226070,0098,F,0,1,0,0,NA,13.1,20.0,6,1,1,1,1,1,1,1,1,R,SK,"TT0098 - 1 adult tick, small BC"
99,2021,2,puro,supplement,deworm,6/21/2021,1,A3,226060,0099,F,1,1,1,0,NA,13.4,19.0,0,NA,1,1,1,1,1,1,1,R,JM,emaciated
100,2021,2,puro,supplement,deworm,6/21/2021,1,B5,226004,0100,M,0,NA,NA,NA,1,13.6,19.5,2,1,1,1,1,1,1,1,1,R,JM,"FE really small, bleeder, in bad shape after processing, weak, unresponsive"
92,2021,2,vaarinkorpi,supplement,control,6/21/2021,1,G5,226049,0092,F,0,1,0,0,NA,13.9,20.0,2,1,1,1,1,1,1,1,0,R,JV,blood coming from vagina
93,2021,2,vaarinkorpi,supplement,control,6/21/2021,1,G2,226039,0093,M,1,NA,NA,NA,1,13.9,24.0,1,NA,1,1,1,1,1,1,0,R,SK,"FE collected session 4, small amount"
94,2021,2,vaarinkorpi,supplement,control,6/21/2021,1,G2,226087,0094,F,0,1,0,0,NA,13.4,15.0,10,1,1,1,1,1,1,1,0,R,SK,"blood coming from vagina, sperm plug, FE small"
95,2021,2,vaarinkorpi,supplement,control,6/21/2021,1,E2,226090,0095,M,1,NA,NA,NA,1,13.8,22.5,4,1,1,1,1,1,1,1,0,R,JV,"FE small, wiggly"
96,2021,2,vaarinkorpi,supplement,control,6/21/2021,1,E6,226050,0096,M,1,NA,NA,NA,1,13.2,22.0,0,1,1,1,1,1,1,1,0,R,SK,BR0096 was centrifuged accidentally for a few minutes
97,2021,2,vaarinkorpi,supplement,control,6/21/2021,1,B2,226021,0097,F,0,1,1,0,NA,12.9,21.5,17,1,1,1,1,1,1,1,0,R,JV,"TT0097 - 1 tick, wiggly; ED tube found under fridge (dried out)"
NA,2021,2,vaarinkorpi,supplement,control,6/21/2021,1,E5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"feces in trap, no animal, door sticky"
102,2021,2,vaarinkorpi,supplement,control,6/21/2021,2,G2,226069,0102,M,1,NA,NA,NA,1,13.7,24.5,0,NA,1,1,1,1,1,1,0,R,JV,FE small amount
103,2021,2,vaarinkorpi,supplement,control,6/21/2021,2,A5,226095,0103,F,1,1,1,1,NA,15.5,29.0,1,NA,1,1,1,1,1,1,0,R,JV,FR not fresh
104,2021,2,helmipollo,control,control,6/22/2021,3,C5,219979,0104,M,0,NA,NA,NA,1,12.6,14.0,1,1,1,1,1,1,1,1,0,R,JM,
106,2021,2,puro,supplement,deworm,6/22/2021,3,E3,219971,0106,M,0,NA,NA,NA,1,13.2,18.5,0,1,1,1,1,1,1,1,1,R,SK,emaciated
107,2021,2,puro,supplement,deworm,6/22/2021,4,C6,226024,0107,F,0,1,0,0,NA,13.0,15.5,12,1,1,1,1,1,1,1,1,R,JM,FR not fresh
105,2021,2,vaarinkorpi,supplement,control,6/22/2021,3,K3,226035,0105,F,1,1,1,1,NA,14.2,25.5,0,NA,1,1,1,1,1,1,0,R,JV,FR not fresh
NA,2021,3,hevonen,control,control,7/10/2021,0,B2,226030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DT,JM,"trap open, but door partly closed, animal inside very decomposed"
117,2021,3,hevonen,control,control,7/11/2021,1,D5,219986,0117,M,0,NA,NA,NA,1,14.0,20.0,2,1,1,1,1,1,0,0,0,R,JM,"slow bleeder, small BC, multicap"
118,2021,3,hevonen,control,control,7/11/2021,1,D5,219934,0118,F,0,1,0,0,NA,12.7,24.5,0,1,1,1,1,1,1,1,0,R,JV,"vagina bloody, FE taken 7/12 session 3, squirmy, multicap"
119,2021,3,hevonen,control,control,7/11/2021,1,J4,219936,0119,F,0,1,1,0,NA,13.6,22.5,4,1,1,1,1,1,1,1,0,R,JM,
