"date_time","occ.sess","occasion","session","site","food_trt","helm_trt","trap","x","y","tag","firstcap","sex","per","nip","preg","test","head","mass","fate"
2021-09-07 06:00:00,"5.1","5",1,"asema","control","control","E1",5,1,"219752",0,"M",NA,NA,NA,"1",13.2,19,"R"
2021-09-07 06:00:00,"5.1","5",1,"asema","control","control","E1",5,1,"226748",1,"M",NA,NA,NA,"0",12.4,11.5,"R"
2021-09-07 06:00:00,"5.1","5",1,"asema","control","control","A6",1,11,"219809",0,"M",NA,NA,NA,"0",12.6,15.5,"R"
2021-09-07 06:00:00,"5.1","5",1,"asema","control","control","I5",9,9,"219659",1,"M",NA,NA,NA,"0",12.5,13.5,"R"
2021-09-07 06:00:00,"5.1","5",1,"asema","control","control","A1",1,1,"226091",0,"M",NA,NA,NA,"0",13.3,19.5,"R"
2021-09-07 06:00:00,"5.1","5",1,"asema","control","control","A2",1,3,"226775",1,"M",NA,NA,NA,"0",12.6,14,"R"
2021-09-07 06:00:00,"5.1","5",1,"asema","control","control","G1",7,1,"226056",0,"F","1","1","0",NA,13.2,23,"R"
2021-09-07 06:00:00,"5.1","5",1,"asema","control","control","A4",1,7,"226729",1,"F","0","0","0",NA,12.4,10,"R"
2021-09-07 06:00:00,"5.1","5",1,"asema","control","control","H3",8,6,"226792",1,"F","0","0","0",NA,12.7,16.5,"R"
2021-09-07 06:00:00,"5.1","5",1,"asema","control","control","A5",1,9,"226797",1,"M",NA,NA,NA,"0",12.8,12.5,"R"
2021-09-07 06:00:00,"5.1","5",1,"asema","control","control","J1",10,2,"226770",1,"F","0","0","0",NA,11.9,11.5,"R"
2021-09-07 16:00:00,"5.2","5",2,"asema","control","control","K3",11,5,"219666",1,"M",NA,NA,NA,"0",12.4,15,"R"
2021-09-07 16:00:00,"5.2","5",2,"asema","control","control","A1",1,1,"226783",1,"M",NA,NA,NA,"0",13.4,19,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","B2",2,4,"219640",1,"F","0","0","0",NA,13,19.5,"S"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","D1 ",4,2,"219824",0,"M",NA,NA,NA,"0",12.9,18,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","D1",4,2,"219638",1,"F","0","0","0",NA,12.6,14,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","D1",4,2,"226155",0,"M",NA,NA,NA,"0",12.9,16,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","G6",7,11,"219712",0,"M",NA,NA,NA,"0",12.6,16,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","A5",1,9,"219660",1,"M",NA,NA,NA,"0",12.7,14.5,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","G6",7,11,"219620",1,"F","0","0","0",NA,12.6,13.5,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","A5",1,9,"219844",0,"M",NA,NA,NA,"0",12.3,14,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","A2",1,3,"219656",1,"F","0","0","0",NA,14.2,20,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","I3",9,5,"219795",0,"F","0","0","0",NA,12.2,15.5,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","J4",10,8,"219614",1,"F","0","0","0",NA,12.1,12.5,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","I6",9,11,"219840",0,"M",NA,NA,NA,"0",12.8,15,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","I2",9,3,"226103",0,"M",NA,NA,NA,"0",12.5,13.5,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","A3",1,5,"219645",1,"M",NA,NA,NA,"0",13.1,16,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","J2",10,4,"226106",0,"M",NA,NA,NA,"0",12.4,14,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","C2",3,3,"219756",0,"F","0","0","0",NA,12.6,14,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","D5",4,10,"219865",0,"F","0","0","0",NA,12.5,16,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","B4",2,8,"219852",0,"F","0","0","0",NA,12.7,14,"R"
2021-09-07 06:00:00,"5.1","5",1,"hevonen","control","control","K3",11,5,"226192",0,"F","0","0","0",NA,12.3,12,"R"
2021-09-07 16:00:00,"5.2","5",2,"hevonen","control","control","D1",4,2,"226717",1,"F","0","0","0",NA,12.6,16,"R"
2021-09-07 16:00:00,"5.2","5",2,"hevonen","control","control","F3",6,6,"226727",1,"M",NA,NA,NA,"0",12.5,14.5,"R"
2021-09-08 06:00:00,"5.3","5",3,"asema","control","control","K2",11,3,"226738",1,"M",NA,NA,NA,"0",12.6,12.5,"R"
2021-09-08 06:00:00,"5.3","5",3,"asema","control","control","D3",4,6,"226760",1,"F","1","1","0",NA,14,19.5,"R"
2021-09-08 06:00:00,"5.3","5",3,"asema","control","control","A2",1,3,"219966",0,"M",NA,NA,NA,"0",11.9,12,"R"
2021-09-08 06:00:00,"5.3","5",3,"asema","control","control","I6",9,11,"226772",1,"F","0","0","0",NA,12.9,15.5,"R"
2021-09-08 06:00:00,"5.3","5",3,"asema","control","control","A6",1,11,"219809",0,"M",NA,NA,NA,"0",12.8,15.5,"R"
2021-09-08 06:00:00,"5.3","5",3,"asema","control","control","A4",1,7,"226757",1,"M",NA,NA,NA,"0",12.4,12,"R"
